player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
14855845,Adi Doshi,8474847,Gladiators Cricket Club,3,3,5,24,3,6.00,4.80,0,4.8,24,Right-arm fast,4.0,12
35016227,Khush Chopda,8474843,Falcon Giants,5,4,4,30,2,7.20,7.50,0,9,36,-,5.0,18
19537796,A Puglia,8474843,Falcon Giants,5,5,4,48,2,7.38,12.00,0,14.75,59,Right-arm medium,8.0,22
24510507,Ankush Jain,8474846,Toxic 11,3,3,4,36,2,9.67,9.00,0,14.5,58,-,6.0,16
25738533,Rajiv Khajanchi,8474845,Power Hitters,5,5,3,54,2,7.44,18.00,0,22.33,67,Right-arm medium,9.0,24
19526990,Manav Banthia,8474843,Falcon Giants,5,5,3,54,2,7.56,18.00,1,22.67,68,Left-arm medium,9.0,26
19507137,Shashank Sanjay Jain,8474849,Parshav Panthers,4,4,3,48,2,8.62,16.00,0,23,69,Right-arm Leg Break,8.0,22
19519967,Mayur Bhandari,8474844,Chandralok Warriors,3,3,3,36,2,8.83,12.00,0,17.67,53,Right-arm medium,6.0,18
19502632,Harsh Baid,8474843,Falcon Giants,5,5,3,30,2,10.00,10.00,0,16.67,50,Right-arm fast,5.0,13
25743254,Adish Banthia,8474845,Power Hitters,5,5,3,48,2,10.88,16.00,0,29,87,Right-arm medium,8.0,18
19513925,Rahul Kothari,8474848,SR Rangers,4,4,3,22,1,11.45,7.33,0,14,42,Right-arm medium,3.4,10
9877497,Dr Yashkumar Jain,8474846,Toxic 11,3,3,2,16,2,6.00,8.00,0,8,16,Right-arm medium,2.4,7
19468485,Palash Singhvi,8474848,SR Rangers,4,4,2,36,1,6.50,18.00,0,19.5,39,None,6.0,20
19519957,Shanti Dugad,8474845,Power Hitters,5,5,2,42,1,8.57,21.00,0,30,60,Right-arm fast,7.0,22
24510219,Siddarth Jain,8474849,Parshav Panthers,4,4,2,48,2,8.62,24.00,0,34.5,69,-,8.0,16
19500771,Pratik Kothari,8474846,Toxic 11,3,3,2,30,1,10.40,15.00,0,26,52,Right-arm medium,5.0,14
19500636,Aniket Lunawat,8474848,SR Rangers,4,4,2,42,1,10.71,21.00,0,37.5,75,Right-arm medium,7.0,12
19529463,Sajan Jain,8474848,SR Rangers,4,3,2,18,1,13.00,9.00,0,19.5,39,Right-arm medium,3.0,5
19513542,Aalekh Gandhi,8474848,SR Rangers,4,4,2,22,1,14.18,11.00,0,26,52,Right-arm medium,3.4,8
25730976,Aadesh Kothari,8474842,KT Lions,3,3,1,24,1,6.50,24.00,0,26,26,-,4.0,14
19500313,Madhur Pugliya,8474844,Chandralok Warriors,3,3,1,36,1,6.83,36.00,0,41,41,Right-arm medium,6.0,17
19519973,Sushil Puglia,8474845,Power Hitters,5,5,1,36,1,8.00,36.00,0,48,48,Right-arm medium,6.0,15
19501201,Jay Baid,8474846,Toxic 11,3,3,1,18,1,8.67,18.00,0,26,26,Right-arm medium,3.0,9
19529455,Pranay Pugliya,8474847,Gladiators Cricket Club,3,2,1,12,1,9.00,12.00,0,18,18,Right-arm fast,2.0,3
